Nombre,URL,Lenguaje Principal,AWS,Azure,Docker,GitHub Actions,Google Cloud,Heroku,Netlify,Terraform,Vercel
proyecto-si784-2024-i-u3-pysistemaalquilerdevehiculos,https://github.com/UPT-FAING-EPIS/proyecto-si784-2024-i-u3-pysistemaalquilerdevehiculos,HTML,False,False,False,False,False,False,False,False,False
proyecto-si885-2024-ii-u1-tg01apazachuracutcutiescohuallpa,https://github.com/UPT-FAING-EPIS/proyecto-si885-2024-ii-u1-tg01apazachuracutcutiescohuallpa,Python,False,False,False,True,False,False,False,False,False
proyecto-si885-2024-ii-u1-tgu01lunaquispemamanihernandezmeza,https://github.com/UPT-FAING-EPIS/proyecto-si885-2024-ii-u1-tgu01lunaquispemamanihernandezmeza,HCL,False,True,False,True,False,False,False,True,False
proyecto-si8811a-2024-ii-u1-pruebas-cano-valverde,https://github.com/UPT-FAING-EPIS/proyecto-si8811a-2024-ii-u1-pruebas-cano-valverde,Python,False,False,True,True,False,False,False,False,False
proyecto-si8811a-2024-ii-u1-desarrollo-api-back,https://github.com/UPT-FAING-EPIS/proyecto-si8811a-2024-ii-u1-desarrollo-api-back,HCL,True,False,False,True,False,False,False,True,False
proyecto-si8811a-2024-ii-u1-pruebas-2-rivera-lupaca,https://github.com/UPT-FAING-EPIS/proyecto-si8811a-2024-ii-u1-pruebas-2-rivera-lupaca,Python,False,False,False,True,False,False,False,False,False
proyecto-si8811a-2024-ii-u1-apis-y-funciones-jarro-y-valle,https://github.com/UPT-FAING-EPIS/proyecto-si8811a-2024-ii-u1-apis-y-funciones-jarro-y-valle,C#,False,False,True,False,False,False,False,False,False
proyecto-si8811a-2024-ii-u1-api-y-funciones-zevallos-y-anahua,https://github.com/UPT-FAING-EPIS/proyecto-si8811a-2024-ii-u1-api-y-funciones-zevallos-y-anahua,Python,False,False,False,True,False,False,False,False,False
proyecto-si784-2024-ii-u1-hernandez_paja_contreras,https://github.com/UPT-FAING-EPIS/proyecto-si784-2024-ii-u1-hernandez_paja_contreras,HTML,False,False,False,True,False,False,False,False,False
proyecto-si784-2024-ii-u1-ayma_poma_tapia,https://github.com/UPT-FAING-EPIS/proyecto-si784-2024-ii-u1-ayma_poma_tapia,HTML,False,False,False,True,False,False,False,False,False
proyecto-si784-2024-ii-u1-FloresR_Salinas_ticahuanca,https://github.com/UPT-FAING-EPIS/proyecto-si784-2024-ii-u1-FloresR_Salinas_ticahuanca,C#,False,False,False,True,False,False,False,False,False
proyecto-si784-2024-ii-u1-chambi_floresq_leyva,https://github.com/UPT-FAING-EPIS/proyecto-si784-2024-ii-u1-chambi_floresq_leyva,PureBasic,False,False,False,True,False,False,False,False,False
proyecto-si784-2024-ii-u1-aguilar_caxi_chata,https://github.com/UPT-FAING-EPIS/proyecto-si784-2024-ii-u1-aguilar_caxi_chata,CSS,False,False,False,True,False,False,False,False,False
proyecto-si8811a-2024-ii-u1-apis-y-funciones-meza-y-churacutipa,https://github.com/UPT-FAING-EPIS/proyecto-si8811a-2024-ii-u1-apis-y-funciones-meza-y-churacutipa,Python,False,False,True,True,False,False,False,False,False
proyecto-si784-2024-ii-u1-pyfanpage,https://github.com/UPT-FAING-EPIS/proyecto-si784-2024-ii-u1-pyfanpage,PHP,False,False,True,True,False,False,False,False,False
proyecto-si8811b-2024-ii-u1-infrastructure,https://github.com/UPT-FAING-EPIS/proyecto-si8811b-2024-ii-u1-infrastructure,HCL,False,True,False,True,False,False,False,True,False
proyecto-si8811b-2024-ii-u1-web-hernandez-contreras,https://github.com/UPT-FAING-EPIS/proyecto-si8811b-2024-ii-u1-web-hernandez-contreras,JavaScript,False,False,False,True,False,False,False,False,False
proyecto-si8811b-2024-ii-u1-backend-go,https://github.com/UPT-FAING-EPIS/proyecto-si8811b-2024-ii-u1-backend-go,Go,False,False,False,False,False,False,False,False,False
proyecto-si8811a-2024-ii-u1-web-development,https://github.com/UPT-FAING-EPIS/proyecto-si8811a-2024-ii-u1-web-development,TypeScript,True,False,True,True,False,False,False,False,True
proyecto-si8811a-2024-ii-u1-pruebas-3-roberto-y-piero,https://github.com/UPT-FAING-EPIS/proyecto-si8811a-2024-ii-u1-pruebas-3-roberto-y-piero,Python,False,False,False,False,False,False,False,False,False
proyecto-si8811a-2024-ii-u2-qa-pruebas-valverde-cano,https://github.com/UPT-FAING-EPIS/proyecto-si8811a-2024-ii-u2-qa-pruebas-valverde-cano,Python,False,False,False,True,False,False,False,False,False
proyecto-si885-2024-ii-u2-tg01apazachuracutcutiescohuallpas,https://github.com/UPT-FAING-EPIS/proyecto-si885-2024-ii-u2-tg01apazachuracutcutiescohuallpas,Python,True,False,False,True,False,False,False,True,False
proyecto-si885-2024-ii-u2-tg3melenhurtachinolopezbricecuadr,https://github.com/UPT-FAING-EPIS/proyecto-si885-2024-ii-u2-tg3melenhurtachinolopezbricecuadr,HCL,False,False,False,True,False,False,False,True,False
